date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:02	33771/33771	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Jul%202021%2015:54:24%20GMT	https://themebeyond.com/html/ganic/img/product/cart_p02.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/product/cart_p02.jpg	(from https://themebeyond.com/html/ganic/)
22:35:04	52326/52326	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:46:58%20GMT	https://themebeyond.com/html/ganic/checkout.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/checkout.html	(from https://themebeyond.com/html/ganic/)
22:35:05	45933/45933	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jul%202021%2021:16:08%20GMT	https://themebeyond.com/html/ganic/img/images/megamenu_banner.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/images/megamenu_banner.jpg	(from https://themebeyond.com/html/ganic/)
22:35:05	77701/77701	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:48:38%20GMT	https://themebeyond.com/html/ganic/shop.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/shop.html	(from https://themebeyond.com/html/ganic/)
22:35:07	50873/50873	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jul%202021%2022:21:44%20GMT	https://themebeyond.com/html/ganic/img/images/megamenu_banner02.jpg	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/img/images/megamenu_banner02.jpg	(from https://themebeyond.com/html/ganic/)
22:35:08	73842/73842	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:42:20%20GMT	https://themebeyond.com/html/ganic/index-2.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/index-3.html	(from https://themebeyond.com/html/ganic/)
22:35:08	77701/77701	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:48:20%20GMT	https://themebeyond.com/html/ganic/shop-right-sidebar.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/shop-right-sidebar.html	(from https://themebeyond.com/html/ganic/)
22:35:09	53277/53277	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:45:36%20GMT	https://themebeyond.com/html/ganic/blog.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/blog.html	(from https://themebeyond.com/html/ganic/)
22:35:10	57846/57846	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:45:32%20GMT	https://themebeyond.com/html/ganic/blog-details.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/blog-details.html	(from https://themebeyond.com/html/ganic/)
22:35:11	43687/43687	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2021:41:36%20GMT	https://themebeyond.com/html/ganic/404.html	/home/nhatphan/test/tes/testweb/themebeyond.com/html/ganic/404.html	(from https://themebeyond.com/html/ganic/)
