date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:57	478/478	---M--	200	added ('OK')	image/png	etag:%223262fb8-1de-53b767180cf00%22	https://hencework.com/theme/vendors/bower_components/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/hue-horizontal.png	/home/nhatphan/test/thema_admin/t_admin/hencework.com/theme/vendors/bower_components/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/hue-horizontal.png	(from https://hencework.com/theme/vendors/bower_components/mjolnic-bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css)
22:47:58	557/557	---M--	200	added ('OK')	image/png	etag:%223262fb6-22d-53b767180cf00%22	https://hencework.com/theme/vendors/bower_components/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/alpha-horizontal.png	/home/nhatphan/test/thema_admin/t_admin/hencework.com/theme/vendors/bower_components/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/alpha-horizontal.png	(from https://hencework.com/theme/vendors/bower_components/mjolnic-bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css)
22:47:59	3080/3080	---M--	200	added ('OK')	image/png	etag:%2232827f2-c08-53b53ab129780%22	https://hencework.com/theme/vendors/bower_components/multiselect/img/switch.png	/home/nhatphan/test/thema_admin/t_admin/hencework.com/theme/vendors/bower_components/multiselect/img/switch.png	(from https://hencework.com/theme/vendors/bower_components/multiselect/css/multi-select.css)
22:48:00	1849/1849	---M--	200	added ('OK')	image/gif	etag:%2232830e2-739-53b7bd465a280%22	https://hencework.com/theme/vendors/bower_components/x-editable/dist/bootstrap3-editable/img/loading.gif	/home/nhatphan/test/thema_admin/t_admin/hencework.com/theme/vendors/bower_components/x-editable/dist/bootstrap3-editable/img/loading.gif	(from https://hencework.com/theme/vendors/bower_components/x-editable/dist/bootstrap3-editable/css/bootstrap-editable.css)
22:48:01	509/509	---M--	200	added ('OK')	image/png	etag:%2232830e1-1fd-53b7bd465a280%22	https://hencework.com/theme/vendors/bower_components/x-editable/dist/bootstrap3-editable/img/clear.png	/home/nhatphan/test/thema_admin/t_admin/hencework.com/theme/vendors/bower_components/x-editable/dist/bootstrap3-editable/img/clear.png	(from https://hencework.com/theme/vendors/bower_components/x-editable/dist/bootstrap3-editable/css/bootstrap-editable.css)
22:48:02	21357/21357	---M--	404	error ('Not%20Found')	text/html	etag:%2230a00fc-536d-5c9e83949f765%22	https://hencework.com/theme/philbert/full-width-light/cropped.html	/home/nhatphan/test/thema_admin/t_admin/hencework.com/theme/philbert/full-width-light/cropped.html	(from https://hencework.com/theme/philbert/full-width-light/cropperjs.html)
22:48:03	1981/1981	---M--	200	added ('OK')	image/svg+xml	etag:%22324300a-7bd-53b778e0e4480%22	https://hencework.com/theme/vendors/bower_components/dropify/dist/fonts/dropify.svg	/home/nhatphan/test/thema_admin/t_admin/hencework.com/theme/vendors/bower_components/dropify/dist/fonts/dropify.svg	(from https://hencework.com/theme/vendors/bower_components/dropify/dist/css/dropify.min.css)
22:48:06	4640/4640	---M-Z	404	error ('Not%20Found')	text/html	etag:%2210a00b7-1220-5cb27fe3422b4-gzip%22	https://www.datatables.net/releases/Editor-2.0.5.zip	/home/nhatphan/test/thema_admin/t_admin/www.datatables.net/releases/Editor-2.0.5.193.delayed	(from https://www.datatables.net/feeds/releases.xml)
22:48:06	3190250/3190250	---M--	200	added ('OK')	application/zip	etag:%2211c0402-30adea-5cb27dd55c495%22	https://www.datatables.net/releases/DataTables-1.11.1.zip	/home/nhatphan/test/thema_admin/t_admin/www.datatables.net/releases/DataTables-1.11.1.zip	(from https://www.datatables.net/feeds/releases.xml)
22:48:08	3190256/3190256	---M--	200	added ('OK')	application/zip	etag:%2211c10c2-30adf0-5ca6229b91ee1%22	https://www.datatables.net/releases/DataTables-1.11.0.zip	/home/nhatphan/test/thema_admin/t_admin/www.datatables.net/releases/DataTables-1.11.0.zip	(from https://www.datatables.net/feeds/releases.xml)
